Word,Count
the,20
to,20
TODO,13
in,11
file,10
a,10
playlist,10
from,8
folder,7
link,7
and,7
for,6
is,6
UTF-8,5
download,5
create,5
when,5
Gets,5
header,5
if,5
Reads,5
items,5
list,5
catch,4
Auto-generated,4
If,4
with,4
add,4
block,4
writer,4
pane,4
of,4
media,4
files,3
Adds,3
songs,3
this,3
line,3
duplicates,3
retrieve,3
more,3
song,3
,2
input,2
Lazily,2
tree,2
node,2
not,2
bug,2
Add,2
playlists,2
quota,2
info,2
lineToRemove,2
options,2
\reader,\,2
filename,2
table,2
click,2
Buttons,2
window,2
exists,2
correct,2
decoded,2
contains,2
completed,2
array,2
MP4,2
Deleting,2
viewer,2
Double,2
ContextMenu,2
all,2
adds,2
occurs,2
getting,2
*,2
File,2
folders,2
uploaded,2
listener,2
or,2
content,2
video,2
as,2
nodes,2
API,2
Loads,2
source,2
videos,2
M4A,2
empty,2
first,2
thread,2
Checks,2
comparing,1
TreeCellRenderer,1
bar.setTotalWork(item.getBar().getTotalWork());,1
read,1
lines,1
packets,1
Dirty,1
dragged,1
\array,\,1
gets,1
Extracts,1
factory,1
temp,1
Makes,1
because,1
data,1
Excludes,1
Ads,1
other,1
extension,1
center,1
Next,1
Needs,1
songs[o].getAbsolutePath());,1
Slider,1
Root,1
Backup,1
few,1
tip,1
again,1
Text,1
resource,1
which,1
on,1
Called,1
making,1
main,1
\getVideosFromPlaylist("\PLjNnP__MSqn3cARtTz189JPtPNSFcJKAH"\);\,1
lenghts,1
Use,1
decode,1
Stop,1
writes,1
\application,\,1
manually,1
path,1
Global,1
Retrieve,1
String,1
\System.out.println("\writer:\,1
.jar,1
lib/,1
fList[i]);,1
KeepVid,1
Try,1
\nextPageToken,\,1
way,1
prints,1
currently,1
\"\\,1
downloading,1
times,1
TableColumns,1
STARTING,1
TableView,1
ignored,1
roots,1
extra,1
duplicate,1
Play,1
show,1
How,1
loops,1
one,1
ignore,1
Define,1
system,1
Remove,1
there,1
any,1
directory,1
enabled,1
response,1
width,1
top,1
program,1
default,1
created,1
Starts,1
Opens,1
already,1
change,1
store,1
custom,1
trashgod,1
Loading,1
filtered,1
newline,1
RootFolder,1
output,1
Adding,1
visible,1
Display,1
itself,1
Main,1
drag'n'drop,1
http://youtubeinmp4.com/youtube.php?video=,1
Previous,1
ends,1
can't,1
Writes,1
Treats,1
hardcoded,1
Pause,1
hotkeys,1
starts,1
extention,1
+,1
name,1
wrong,1
column,1
\Dimension(label.getSize().width+12,12));\,1
yt,1
Player,1
Check,1
checks,1
Songs,1
https://developers.google.com/youtube/v3/getting-started#partial,1
Radio,1
cellContent.setMinHeight(32);,1
Only,1
Enables,1
File-system,1
comparator,1
\"\?"\,\,1
channel's,1
same,1
fix,1
Converts,1
mirror,1
libraries,1
string,1
are,1
As,1
dir,1
Credit,1
function,1
parse,1
FIXME,1
player,1
dll,1
website,1
loads,1
mp4,1
down,1
it,1
Handle,1
Handles,1
removes,1
downloadVideo(s);,1
playlistheader,1
Playlist,1
url,1
ProgressBar,1
Weird,1
occured,1
ratios,1
item,1
unless,1
stats,1
false,1
opened,1
see,1
sync,1
Call,1
Displays,1
trim,1
dispatch,1
'martinus',1
queue,1
\playlists,\,1
See:,1
Removing,1
downloads,1
long,1
Built,1
First,1
by,1
still,1
result,1
parent,1
progressbar,1
Playing,1
duped,1
updates,1
downloader,1
id's,1
(but,1
\getStylesheets().add("\DownloaderTheme.css"\);\,1
version,1
paused,1
listen,1
webpage,1
PlaylistPane,1
A,1
eclipse),1
MakeLauncher();,1
returns,1
used,1
application,1
put,1
deletion,1
thereby,1
puts,1
jp.setPreferredSize(new,1
\getList(child,\,1
efficient,1
Drag'n'drop,1
requires,1
feature,1
audio,1
initializes,1
contents,1
many,1
second,1
bar.setWorkDone(item.getDownloadedSongCount());,1
Sends,1
per,1
Recalculates,1
issues,1
merger,1
use,1
files(vevo),1
creates,1
classes,1
class,1
hotkey,1
allowed,1
right,1
workdir,1
@Stackoverflow,1
until,1
creating,1
selected,1
