File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Vamzdis\Documents\GitHub\PlayA-2\src\DownloadThreadManager.java,294,235,176,29,47,1,12,78,0,0
C:\Users\Vamzdis\Documents\GitHub\PlayA-2\src\FileUtils.java,254,212,161,51,35,1,7,36,0,0
C:\Users\Vamzdis\Documents\GitHub\PlayA-2\src\FolderChooserTree.java,145,110,89,9,25,0,10,37,0,0
C:\Users\Vamzdis\Documents\GitHub\PlayA-2\src\FXMediaPlayer.java,88,72,54,9,15,0,1,4,0,0
C:\Users\Vamzdis\Documents\GitHub\PlayA-2\src\KeyListener.java,20,12,8,1,6,0,2,5,0,0
C:\Users\Vamzdis\Documents\GitHub\PlayA-2\src\LibraryLoader.java,76,59,45,10,15,0,2,11,0,0
C:\Users\Vamzdis\Documents\GitHub\PlayA-2\src\Main.java,78,51,39,2,19,1,8,30,0,0
C:\Users\Vamzdis\Documents\GitHub\PlayA-2\src\MainGui.java,298,233,205,14,52,0,13,21,0,0
C:\Users\Vamzdis\Documents\GitHub\PlayA-2\src\NetUtils.java,46,40,32,5,5,0,1,4,0,0
C:\Users\Vamzdis\Documents\GitHub\PlayA-2\src\PlayerController.java,32,24,17,2,7,1,1,11,0,0
C:\Users\Vamzdis\Documents\GitHub\PlayA-2\src\PlaylistController.java,245,205,152,36,36,1,4,26,0,0
C:\Users\Vamzdis\Documents\GitHub\PlayA-2\src\PlaylistCreationPane.java,95,74,64,7,16,0,5,15,0,0
C:\Users\Vamzdis\Documents\GitHub\PlayA-2\src\PlaylistHeader.java,92,74,59,12,18,0,0,0,0,0
C:\Users\Vamzdis\Documents\GitHub\PlayA-2\src\PlaylistObject.java,41,33,24,3,8,0,0,0,0,0
C:\Users\Vamzdis\Documents\GitHub\PlayA-2\src\PlaylistPane.java,278,213,175,25,57,0,8,22,0,0
C:\Users\Vamzdis\Documents\GitHub\PlayA-2\src\PlaylistTable.java,55,43,39,2,11,0,1,3,0,0
C:\Users\Vamzdis\Documents\GitHub\PlayA-2\src\PlaylistWriter.java,514,406,312,69,72,3,36,143,0,0
C:\Users\Vamzdis\Documents\GitHub\PlayA-2\src\SongObject.java,58,49,36,6,9,0,0,0,0,0
C:\Users\Vamzdis\Documents\GitHub\PlayA-2\src\SongTable.java,49,38,34,3,9,0,2,4,0,0
C:\Users\Vamzdis\Documents\GitHub\PlayA-2\src\YoutubeDownloaderUI.java,452,355,272,30,80,2,17,45,0,0
C:\Users\Vamzdis\Documents\GitHub\PlayA-2\src\YtDownloadUtils.java,235,177,143,25,38,0,20,107,0,0
